batch_id,test_date,drug_id,drug_name,supplier_id,supplier_name,purity_pct,contamination_ppm,dissolution_min,moisture_pct,sterility_pass,overall_pass,quality_trend,iso_prediction,iso_score,is_iso_anomaly,is_spc_anomaly,num_violations,violated_metrics,is_anomaly
BAT00053,2021-01-15,DRG006,Ibuprofen,SUP001,Aurobindo API Ltd,89.27,5.82,31.4,1.95,True,False,stable,1,0.1159000659998547,False,False,0.0,,False
BAT01652,2021-01-15,DRG005,Glimepiride,SUP020,Teva API Israel,92.78,3.08,33.9,1.41,True,False,stable,1,0.13135068595407834,False,False,0.0,,False
BAT01710,2021-01-16,DRG018,Cetirizine HCl,SUP020,Teva API Israel,93.27,3.45,30.4,1.55,True,False,stable,1,0.135866411228046,False,False,0.0,,False
BAT00625,2021-01-16,DRG017,Oseltamivir Phosphate,SUP005,Divi's Laboratories API,92.88,3.12,30.4,1.85,True,False,stable,1,0.12047775718480397,False,False,0.0,,False
BAT01215,2021-01-17,DRG006,Ibuprofen,SUP011,BASF Pharma Solutions,94.88,1.32,28.8,1.42,True,False,stable,1,0.06823561818879792,False,False,0.0,,False
BAT00339,2021-01-19,DRG011,Salbutamol Sulfate,SUP003,Dr Reddy's API Division,89.93,4.57,33.5,1.51,True,False,stable,1,0.13704407017964465,False,False,0.0,,False
BAT00799,2021-01-19,DRG004,Metformin HCl,SUP007,Huahai Pharmaceutical API,80.77,10.4,37.2,1.87,True,False,declining,1,0.02038203291434204,False,False,0.0,,False
BAT00765,2021-01-20,DRG013,Omeprazole,SUP006,Zhejiang Pharma Chemical,81.74,8.3,31.6,1.86,True,False,stable,1,0.06641419467136805,False,False,0.0,,False
BAT00840,2021-01-21,DRG007,Acetaminophen (Paracetamol),SUP007,Huahai Pharmaceutical API,80.09,10.01,36.0,1.47,True,False,declining,1,0.0025063390585708945,False,False,0.0,,False
BAT01291,2021-01-21,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,98.02,0.69,29.7,1.56,True,True,stable,1,0.03284787808181899,False,False,0.0,,False
BAT00448,2021-01-22,DRG010,Ciprofloxacin HCl,SUP004,Laurus Labs Synthesis,85.66,7.78,38.2,1.68,True,False,declining,1,0.0809421037076552,False,False,0.0,,False
BAT00471,2021-01-22,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,85.23,7.25,37.0,1.95,True,False,declining,1,0.09461561457953288,False,False,0.0,,False
BAT01160,2021-01-22,DRG011,Salbutamol Sulfate,SUP010,Novartis API GmbH,96.32,1.41,33.7,1.99,True,True,stable,1,0.06436920971891352,False,False,0.0,,False
BAT01009,2021-01-22,DRG004,Metformin HCl,SUP009,Shandong Xinhua API,80.59,9.17,39.5,1.29,True,False,stable,1,0.0034265934709981627,False,False,0.0,,False
BAT00407,2021-01-23,DRG001,Lisinopril,SUP004,Laurus Labs Synthesis,83.65,7.27,36.1,1.11,True,False,declining,1,0.033359737627520425,False,False,0.0,,False
BAT00822,2021-01-25,DRG006,Ibuprofen,SUP007,Huahai Pharmaceutical API,80.71,10.25,45.2,2.26,True,False,declining,-1,-0.016637282495119532,True,False,0.0,,True
BAT00171,2021-01-26,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,90.34,5.33,36.8,1.46,True,False,stable,1,0.12041516160152305,False,False,0.0,,False
BAT00923,2021-01-26,DRG007,Acetaminophen (Paracetamol),SUP008,CSPC Pharma Intermediates,84.21,8.15,36.8,2.24,True,False,stable,1,0.09594795922516891,False,False,0.0,,False
BAT01113,2021-01-26,DRG005,Glimepiride,SUP010,Novartis API GmbH,97.18,1.16,28.5,1.47,True,True,stable,1,0.07727724726719559,False,False,0.0,,False
BAT01941,2021-01-27,DRG013,Omeprazole,SUP025,Lupin API Division,88.66,5.32,39.8,1.15,True,False,stable,1,0.03225163808918985,False,False,0.0,,False
BAT00127,2021-01-28,DRG018,Cetirizine HCl,SUP001,Aurobindo API Ltd,87.89,6.28,36.2,2.4,True,False,stable,1,0.06399184118104456,False,True,1.0,moisture_pct_high,True
BAT01571,2021-01-29,DRG016,Escitalopram Oxalate,SUP017,Thermo Fisher Pharma,95.6,1.93,30.9,1.42,True,True,stable,1,0.10578579190818233,False,False,0.0,,False
BAT00588,2021-01-31,DRG015,Sertraline HCl,SUP005,Divi's Laboratories API,93.15,3.1,26.9,1.57,True,False,stable,1,0.06069131755401436,False,False,0.0,,False
BAT01464,2021-01-31,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,91.31,4.56,35.2,1.84,True,False,stable,1,0.1365771471049726,False,False,0.0,,False
BAT00517,2021-02-04,DRG003,Atorvastatin Calcium,SUP005,Divi's Laboratories API,91.57,3.57,32.7,1.57,True,False,stable,1,0.13794706670993317,False,False,0.0,,False
BAT01263,2021-02-04,DRG016,Escitalopram Oxalate,SUP012,Siegfried AG Pharma,95.82,2.44,34.7,0.86,True,True,stable,1,0.012257397327336328,False,False,0.0,,False
BAT01736,2021-02-04,DRG008,Amoxicillin Trihydrate,SUP021,Aspen Pharmacare API,88.42,6.21,33.7,1.45,True,False,stable,1,0.12234954814674259,False,False,0.0,,False
BAT00548,2021-02-04,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,93.55,3.94,30.7,1.72,True,False,stable,1,0.13589649081706606,False,False,0.0,,False
BAT01264,2021-02-05,DRG016,Escitalopram Oxalate,SUP012,Siegfried AG Pharma,93.97,2.84,31.6,1.5,True,False,stable,1,0.12842610804077437,False,False,0.0,,False
BAT01225,2021-02-06,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,95.46,1.67,29.9,1.81,True,True,stable,1,0.09382090604403642,False,False,0.0,,False
BAT01533,2021-02-06,DRG017,Oseltamivir Phosphate,SUP016,Pfizer CentreOne API,99.21,1.2,29.4,1.31,True,True,stable,1,0.015033620417336024,False,False,0.0,,False
BAT00128,2021-02-06,DRG018,Cetirizine HCl,SUP001,Aurobindo API Ltd,88.27,5.88,35.4,1.5,True,False,stable,1,0.1309250258271113,False,False,0.0,,False
BAT01758,2021-02-06,DRG014,Pantoprazole Sodium,SUP021,Aspen Pharmacare API,86.68,6.84,40.4,1.72,True,False,stable,1,0.05920647487376729,False,False,0.0,,False
BAT00626,2021-02-06,DRG017,Oseltamivir Phosphate,SUP005,Divi's Laboratories API,90.93,3.21,31.4,2.29,True,False,stable,1,0.060130249478630104,False,True,2.0,purity_pct_low|moisture_pct_high,True
BAT00319,2021-02-06,DRG009,Azithromycin,SUP003,Dr Reddy's API Division,90.92,4.48,37.5,1.78,True,False,stable,1,0.12195014400935367,False,False,0.0,,False
BAT01465,2021-02-07,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,90.6,4.25,37.5,1.48,True,False,stable,1,0.11323495408854184,False,False,0.0,,False
BAT01226,2021-02-07,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,95.06,2.05,28.6,1.27,True,True,stable,1,0.06857511834412683,False,False,0.0,,False
BAT01841,2021-02-07,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,95.84,2.75,32.7,1.74,True,True,stable,1,0.10945828672813979,False,False,0.0,,False
BAT00107,2021-02-08,DRG013,Omeprazole,SUP001,Aurobindo API Ltd,86.71,6.07,40.7,1.57,True,False,stable,1,0.05781928674676157,False,False,0.0,,False
BAT00419,2021-02-10,DRG004,Metformin HCl,SUP004,Laurus Labs Synthesis,85.63,7.49,33.7,2.64,True,False,declining,1,0.007696400851160745,False,False,0.0,,False
BAT00518,2021-02-10,DRG003,Atorvastatin Calcium,SUP005,Divi's Laboratories API,92.84,3.7,28.1,1.55,True,False,stable,1,0.09819771976167296,False,False,0.0,,False
BAT00383,2021-02-11,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,90.11,4.47,30.1,1.89,True,False,stable,1,0.12339321544603177,False,False,0.0,,False
BAT00648,2021-02-11,DRG001,Lisinopril,SUP006,Zhejiang Pharma Chemical,82.82,8.1,37.3,1.91,True,False,stable,1,0.11379795498935746,False,False,0.0,,False
BAT01406,2021-02-12,DRG006,Ibuprofen,SUP015,Polpharma API Poland,91.34,4.66,34.2,1.99,True,False,stable,1,0.13205918205286044,False,False,0.0,,False
BAT01491,2021-02-13,DRG011,Salbutamol Sulfate,SUP016,Pfizer CentreOne API,97.92,1.44,32.3,2.17,True,True,stable,1,0.022358859565046352,False,False,0.0,,False
BAT00985,2021-02-14,DRG018,Cetirizine HCl,SUP008,CSPC Pharma Intermediates,82.85,7.8,41.4,1.92,True,False,stable,1,0.06912014039621378,False,False,0.0,,False
BAT00549,2021-02-14,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,92.52,3.71,32.7,1.43,True,False,stable,1,0.13823814179529037,False,False,0.0,,False
BAT01010,2021-02-14,DRG004,Metformin HCl,SUP009,Shandong Xinhua API,81.72,9.64,32.4,2.06,True,False,stable,1,0.032658729709770906,False,False,0.0,,False
BAT01095,2021-02-16,DRG003,Atorvastatin Calcium,SUP010,Novartis API GmbH,97.06,1.38,33.8,0.96,False,False,stable,1,0.02982025770182517,False,False,0.0,,False
BAT00649,2021-02-16,DRG001,Lisinopril,SUP006,Zhejiang Pharma Chemical,83.63,9.41,41.8,1.84,True,False,stable,1,0.03493036119070558,False,True,1.0,contamination_ppm_high,True
BAT01842,2021-02-17,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,95.53,2.8,26.4,1.89,True,True,stable,1,0.015616946562948875,False,False,0.0,,False
BAT01292,2021-02-18,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,97.88,1.45,31.8,1.8,True,True,stable,1,0.08278321143870054,False,False,0.0,,False
BAT01653,2021-02-18,DRG005,Glimepiride,SUP020,Teva API Israel,93.74,4.29,34.7,1.73,True,False,stable,1,0.12690431206034414,False,True,1.0,contamination_ppm_high,True
BAT01759,2021-02-18,DRG014,Pantoprazole Sodium,SUP021,Aspen Pharmacare API,86.45,6.36,34.3,1.82,True,False,stable,1,0.10501264001748778,False,False,0.0,,False
BAT01293,2021-02-19,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,98.49,1.29,33.3,1.86,True,True,stable,1,0.05051457602654502,False,False,0.0,,False
BAT01357,2021-02-21,DRG001,Lisinopril,SUP015,Polpharma API Poland,90.43,4.63,28.4,1.53,True,False,stable,1,0.10516012956787019,False,False,0.0,,False
BAT00800,2021-02-21,DRG004,Metformin HCl,SUP007,Huahai Pharmaceutical API,80.0,9.95,35.4,2.17,True,False,declining,1,0.030956154508148148,False,False,0.0,,False
BAT00020,2021-02-21,DRG002,Amlodipine Besylate,SUP001,Aurobindo API Ltd,88.36,5.61,42.2,2.07,True,False,stable,1,0.042623757188009925,False,True,1.0,dissolution_min_high,True
BAT01884,2021-02-22,DRG004,Metformin HCl,SUP025,Lupin API Division,89.36,5.16,34.2,1.31,True,False,stable,1,0.11891890363071322,False,False,0.0,,False
BAT01466,2021-02-22,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,92.25,4.21,32.9,1.41,True,False,stable,1,0.13679425963895175,False,False,0.0,,False
BAT00147,2021-02-22,DRG001,Lisinopril,SUP002,Cipla Chemical Works,88.61,4.85,30.3,1.7,True,False,stable,1,0.10984591222266216,False,False,0.0,,False
BAT01227,2021-02-23,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,94.41,2.26,28.9,1.38,True,False,stable,1,0.07873140420492097,False,False,0.0,,False
BAT00650,2021-02-23,DRG001,Lisinopril,SUP006,Zhejiang Pharma Chemical,83.79,8.2,35.5,2.17,True,False,stable,1,0.10922687682676474,False,False,0.0,,False
BAT01031,2021-02-23,DRG006,Ibuprofen,SUP009,Shandong Xinhua API,81.66,8.85,35.7,2.1,True,False,stable,1,0.08343580078255652,False,False,0.0,,False
BAT01829,2021-02-23,DRG016,Escitalopram Oxalate,SUP023,Mylan API Japan,94.34,2.38,28.6,1.76,True,False,stable,1,0.08371677947367273,False,False,0.0,,False
BAT01726,2021-02-24,DRG006,Ibuprofen,SUP021,Aspen Pharmacare API,85.4,6.8,33.6,1.86,True,False,stable,1,0.10145142192716738,False,True,1.0,purity_pct_low,True
BAT01711,2021-02-26,DRG018,Cetirizine HCl,SUP020,Teva API Israel,92.83,3.45,26.3,1.62,True,False,stable,1,0.05525968804469228,False,False,0.0,,False
BAT01358,2021-02-26,DRG001,Lisinopril,SUP015,Polpharma API Poland,90.44,4.46,28.4,1.42,True,False,stable,1,0.10285568170824455,False,False,0.0,,False
BAT01690,2021-02-26,DRG013,Omeprazole,SUP020,Teva API Israel,92.96,3.82,30.9,1.49,True,False,stable,1,0.13395015456146003,False,False,0.0,,False
BAT00723,2021-02-26,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,84.12,8.78,41.6,2.17,True,False,stable,1,0.05603880147596102,False,False,0.0,,False
BAT01654,2021-03-01,DRG005,Glimepiride,SUP020,Teva API Israel,94.17,4.07,32.8,1.04,True,False,stable,1,0.057944578763038324,False,False,0.0,,False
BAT01885,2021-03-02,DRG004,Metformin HCl,SUP025,Lupin API Division,88.55,5.29,37.7,1.4,True,False,stable,1,0.10689786371097948,False,False,0.0,,False
BAT01737,2021-03-03,DRG008,Amoxicillin Trihydrate,SUP021,Aspen Pharmacare API,87.1,6.81,32.2,1.8,True,False,stable,1,0.09657246071001901,False,False,0.0,,False
BAT00172,2021-03-04,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,91.73,4.85,34.0,1.56,True,False,stable,1,0.14050688008079587,False,False,0.0,,False
BAT00320,2021-03-04,DRG009,Azithromycin,SUP003,Dr Reddy's API Division,92.15,3.87,34.1,1.65,True,False,stable,1,0.1411203827180076,False,False,0.0,,False
BAT01777,2021-03-04,DRG004,Metformin HCl,SUP022,Cristalia Brazil API,85.97,6.63,33.7,1.9,True,False,declining,1,0.1020209059452094,False,,,,False
BAT01814,2021-03-04,DRG012,Montelukast Sodium,SUP023,Mylan API Japan,95.67,1.9,37.3,1.67,True,True,stable,1,0.06483114362042064,False,False,0.0,,False
BAT01339,2021-03-05,DRG013,Omeprazole,SUP014,Euroapi France,93.37,3.37,32.8,1.18,True,False,stable,1,0.0941150474948001,False,False,0.0,,False
BAT00108,2021-03-05,DRG013,Omeprazole,SUP001,Aurobindo API Ltd,88.87,5.9,38.2,1.75,True,False,stable,1,0.10259973060682764,False,False,0.0,,False
BAT00948,2021-03-05,DRG008,Amoxicillin Trihydrate,SUP008,CSPC Pharma Intermediates,84.7,6.93,34.4,1.75,True,False,stable,1,0.10264730355973944,False,False,0.0,,False
BAT01308,2021-03-06,DRG005,Glimepiride,SUP014,Euroapi France,94.9,2.82,29.8,1.61,True,False,stable,1,0.11026036248992227,False,False,0.0,,False
BAT00874,2021-03-07,DRG001,Lisinopril,SUP008,CSPC Pharma Intermediates,84.82,7.78,37.6,1.28,True,False,stable,1,0.055172010715459185,False,False,0.0,,False
BAT00875,2021-03-07,DRG001,Lisinopril,SUP008,CSPC Pharma Intermediates,83.73,7.97,30.3,2.01,True,False,stable,1,0.059725533492112126,False,False,0.0,,False
BAT01294,2021-03-07,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,96.94,1.08,29.2,1.82,True,True,stable,1,0.07009373321885609,False,False,0.0,,False
BAT00949,2021-03-09,DRG008,Amoxicillin Trihydrate,SUP008,CSPC Pharma Intermediates,84.83,8.01,32.7,1.99,True,False,stable,1,0.09657367800270389,False,False,0.0,,False
BAT01032,2021-03-09,DRG006,Ibuprofen,SUP009,Shandong Xinhua API,80.86,9.52,37.5,1.88,True,False,stable,1,0.05828508421338369,False,False,0.0,,False
BAT00182,2021-03-09,DRG005,Glimepiride,SUP002,Cipla Chemical Works,89.81,4.84,37.0,1.75,True,False,stable,1,0.12838733366511046,False,False,0.0,,False
BAT01691,2021-03-09,DRG013,Omeprazole,SUP020,Teva API Israel,93.78,3.8,33.5,1.42,True,False,stable,1,0.12789751477740946,False,False,0.0,,False
BAT00519,2021-03-09,DRG003,Atorvastatin Calcium,SUP005,Divi's Laboratories API,93.78,3.69,32.6,1.71,True,False,stable,1,0.13876660671628843,False,False,0.0,,False
BAT00950,2021-03-10,DRG008,Amoxicillin Trihydrate,SUP008,CSPC Pharma Intermediates,84.32,8.05,37.1,1.38,True,False,stable,1,0.08656227788686138,False,False,0.0,,False
BAT01467,2021-03-10,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,90.69,4.16,35.5,2.01,True,False,stable,1,0.124006401503919,False,False,0.0,,False
BAT00550,2021-03-11,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,94.38,3.96,35.0,2.17,True,False,stable,1,0.07435040776953195,False,True,1.0,moisture_pct_high,True
BAT00472,2021-03-11,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,85.28,7.8,42.4,2.69,True,False,declining,-1,-0.01262371651021732,True,False,0.0,,True
BAT01228,2021-03-11,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,94.89,1.91,32.3,1.52,True,False,stable,1,0.10802124970802424,False,False,0.0,,False
BAT00279,2021-03-11,DRG002,Amlodipine Besylate,SUP003,Dr Reddy's API Division,88.88,5.04,32.6,2.01,True,False,stable,1,0.12384045276234595,False,True,1.0,purity_pct_low,True
BAT01760,2021-03-12,DRG014,Pantoprazole Sodium,SUP021,Aspen Pharmacare API,87.04,7.0,33.0,1.76,True,False,stable,1,0.10283956227464247,False,False,0.0,,False
BAT00500,2021-03-12,DRG002,Amlodipine Besylate,SUP005,Divi's Laboratories API,93.06,3.68,34.9,1.99,True,False,stable,1,0.11623747702812248,False,False,0.0,,False
BAT01669,2021-03-12,DRG009,Azithromycin,SUP020,Teva API Israel,91.36,3.13,37.0,2.07,True,False,stable,1,0.0748814750248259,False,True,1.0,purity_pct_low,True
BAT00724,2021-03-12,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,81.49,8.42,42.5,1.6,True,False,stable,1,0.025930353270064765,False,False,0.0,,False
BAT00228,2021-03-14,DRG012,Montelukast Sodium,SUP002,Cipla Chemical Works,91.6,4.99,34.5,1.29,True,False,stable,1,0.11562546529780993,False,False,0.0,,False
BAT00690,2021-03-15,DRG006,Ibuprofen,SUP006,Zhejiang Pharma Chemical,83.71,8.51,37.0,1.98,True,False,stable,1,0.1143572102028404,False,False,0.0,,False
BAT01068,2021-03-16,DRG010,Ciprofloxacin HCl,SUP009,Shandong Xinhua API,80.8,9.58,37.2,2.18,True,False,stable,1,0.05366576600218359,False,False,0.0,,False
BAT00712,2021-03-18,DRG007,Acetaminophen (Paracetamol),SUP006,Zhejiang Pharma Chemical,81.28,8.58,33.8,1.97,True,False,stable,1,0.07520771978223895,False,False,0.0,,False
BAT01692,2021-03-18,DRG013,Omeprazole,SUP020,Teva API Israel,92.65,3.59,34.8,1.67,True,False,stable,1,0.13953093144307016,False,False,0.0,,False
BAT00002,2021-03-20,DRG001,Lisinopril,SUP001,Aurobindo API Ltd,88.55,5.75,33.2,2.04,True,False,stable,1,0.11901267277726318,False,False,0.0,,False
BAT00384,2021-03-20,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,90.44,4.51,32.9,1.54,True,False,stable,1,0.14294562508609976,False,False,0.0,,False
BAT01161,2021-03-21,DRG011,Salbutamol Sulfate,SUP010,Novartis API GmbH,96.82,1.65,30.5,1.58,True,True,stable,1,0.10418216429301091,False,False,0.0,,False
BAT01265,2021-03-22,DRG016,Escitalopram Oxalate,SUP012,Siegfried AG Pharma,94.48,2.21,32.8,1.82,True,False,stable,1,0.10417116807649024,False,False,0.0,,False
BAT00551,2021-03-22,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,93.07,2.88,27.2,1.81,True,False,stable,1,0.06005785528400892,False,False,0.0,,False
BAT01655,2021-03-22,DRG005,Glimepiride,SUP020,Teva API Israel,91.7,3.34,31.7,1.92,True,False,stable,1,0.12615897979589297,False,False,0.0,,False
BAT01138,2021-03-23,DRG009,Azithromycin,SUP010,Novartis API GmbH,96.14,1.92,28.8,1.63,True,True,stable,1,0.09460188277485343,False,False,0.0,,False
BAT00501,2021-03-23,DRG002,Amlodipine Besylate,SUP005,Divi's Laboratories API,93.74,3.56,40.6,1.61,True,False,stable,1,0.049048299229960735,False,True,1.0,dissolution_min_high,True
BAT01069,2021-03-24,DRG010,Ciprofloxacin HCl,SUP009,Shandong Xinhua API,80.03,9.68,38.5,2.15,True,False,stable,1,0.04462220960657859,False,False,0.0,,False
BAT01942,2021-03-24,DRG013,Omeprazole,SUP025,Lupin API Division,89.55,5.38,27.5,1.29,True,False,stable,1,0.039160533573025735,False,False,0.0,,False
BAT01045,2021-03-24,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,80.0,9.57,38.8,2.08,True,False,stable,1,0.045877996606145166,False,False,0.0,,False
BAT01046,2021-03-25,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,81.17,9.63,37.5,2.11,True,False,stable,1,0.06243845162890921,False,False,0.0,,False
BAT00420,2021-03-26,DRG004,Metformin HCl,SUP004,Laurus Labs Synthesis,86.53,8.06,37.8,2.09,True,False,declining,1,0.0772852557791609,False,False,0.0,,False
BAT00627,2021-03-27,DRG017,Oseltamivir Phosphate,SUP005,Divi's Laboratories API,93.12,3.71,35.8,1.42,True,False,stable,1,0.12230783079789043,False,False,0.0,,False
BAT00786,2021-03-28,DRG018,Cetirizine HCl,SUP006,Zhejiang Pharma Chemical,82.44,8.5,36.2,1.61,True,False,stable,1,0.0945643765812772,False,False,0.0,,False
BAT00303,2021-03-28,DRG005,Glimepiride,SUP003,Dr Reddy's API Division,91.0,4.64,35.4,1.67,True,False,stable,1,0.14553281064493495,False,False,0.0,,False
BAT01610,2021-03-28,DRG015,Sertraline HCl,SUP018,Cambrex API Corp,94.32,1.78,32.3,2.12,True,False,stable,1,0.057467409799513536,False,,,,False
BAT00589,2021-03-28,DRG015,Sertraline HCl,SUP005,Divi's Laboratories API,91.91,3.12,33.7,1.13,True,False,stable,1,0.07442809163992126,False,False,0.0,,False
BAT01738,2021-03-28,DRG008,Amoxicillin Trihydrate,SUP021,Aspen Pharmacare API,87.04,6.42,36.2,1.27,True,False,stable,1,0.07772768986559991,False,False,0.0,,False
BAT00725,2021-03-29,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,82.96,8.43,34.4,1.31,True,False,stable,1,0.06562421461736595,False,False,0.0,,False
BAT01551,2021-03-29,DRG012,Montelukast Sodium,SUP017,Thermo Fisher Pharma,96.83,1.15,29.4,1.78,True,True,stable,1,0.08151391392412044,False,False,0.0,,False
BAT00502,2021-03-30,DRG002,Amlodipine Besylate,SUP005,Divi's Laboratories API,93.71,3.1,28.1,1.66,True,False,stable,1,0.09381966660725088,False,False,0.0,,False
BAT01047,2021-03-31,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,80.41,9.52,38.4,2.08,True,False,stable,1,0.05543044161374727,False,False,0.0,,False
BAT00535,2021-03-31,DRG009,Azithromycin,SUP005,Divi's Laboratories API,93.21,3.03,36.0,0.95,True,False,stable,1,0.03227891088654522,False,False,0.0,,False
