date,commodity_index,usd_inr_rate,usd_cny_rate,usd_eur_rate
2022-07-10,124.24,78.09,6.75,0.89
2022-07-17,126.35,78.79,6.76,0.89
2022-07-24,129.19,78.35,6.86,0.89
2022-07-31,128.59,78.62,6.89,0.89
2022-08-07,129.12,77.88,6.69,0.88
2022-08-14,130.74,79.72,6.77,0.89
2022-08-21,132.23,79.08,6.9,0.89
2022-08-28,133.26,79.66,6.83,0.89
2022-09-04,132.62,79.66,6.9,0.89
2022-09-11,132.87,79.67,6.86,0.89
2022-09-18,133.58,79.01,6.87,0.91
2022-09-25,133.02,79.22,6.92,0.88
2022-10-02,131.97,78.75,6.87,0.89
2022-10-09,131.2,79.35,6.83,0.87
2022-10-16,130.12,78.74,6.91,0.89
2022-10-23,129.66,80.13,6.86,0.88
2022-10-30,127.83,79.93,7.0,0.91
2022-11-06,128.48,79.85,6.88,0.89
2022-11-13,127.43,79.32,6.92,0.89
2022-11-20,126.11,80.24,6.95,0.9
2022-11-27,125.39,78.92,6.97,0.88
2022-12-04,125.32,79.72,6.97,0.9
2022-12-11,123.92,79.9,6.98,0.9
2022-12-18,123.44,80.7,6.92,0.91
2022-12-25,123.48,79.29,6.97,0.9
2023-01-01,123.15,80.68,6.84,0.88
2023-01-08,122.68,80.64,6.97,0.91
2023-01-15,123.82,80.72,6.98,0.93
2023-01-22,125.0,79.89,6.99,0.9
2023-01-29,126.2,80.46,7.0,0.9
2023-02-05,127.15,80.74,7.0,0.89
2023-02-12,126.7,80.49,6.95,0.88
2023-02-19,127.17,80.58,6.96,0.9
2023-02-26,128.71,80.7,7.01,0.89
2023-03-05,128.16,80.2,6.89,0.9
2023-03-12,127.74,80.25,6.91,0.9
2023-03-19,128.27,81.02,6.96,0.92
2023-03-26,129.13,80.39,6.97,0.9
2023-04-02,129.86,80.92,7.02,0.89
2023-04-09,130.24,80.17,7.11,0.91
2023-04-16,129.48,80.76,6.99,0.9
2023-04-23,129.85,81.68,7.04,0.92
2023-04-30,129.27,81.09,6.94,0.91
2023-05-07,129.38,81.63,7.0,0.9
2023-05-14,129.07,81.94,7.07,0.92
2023-05-21,128.56,81.61,7.02,0.92
2023-05-28,130.1,81.43,7.01,0.9
2023-06-04,128.8,81.22,6.94,0.91
2023-06-11,127.82,81.22,7.01,0.93
2023-06-18,128.26,81.22,7.11,0.89
2023-06-25,129.22,81.99,7.04,0.9
2023-07-02,129.31,81.61,7.07,0.91
2023-07-09,128.69,81.99,7.03,0.91
2023-07-16,127.62,82.44,7.06,0.91
2023-07-23,127.89,82.64,7.14,0.91
2023-07-30,127.5,82.08,7.07,0.91
2023-08-06,126.72,82.14,7.06,0.91
2023-08-13,127.26,81.75,7.16,0.93
2023-08-20,126.88,82.37,7.1,0.93
2023-08-27,125.62,81.54,7.09,0.92
2023-09-03,125.56,82.07,7.12,0.92
2023-09-10,125.19,81.57,7.17,0.91
2023-09-17,124.38,81.49,7.13,0.94
2023-09-24,124.67,82.35,7.09,0.9
2023-10-01,125.16,81.76,7.14,0.92
2023-10-08,123.34,82.04,7.06,0.92
2023-10-15,124.48,82.58,7.1,0.92
2023-10-22,125.63,82.9,7.17,0.93
2023-10-29,125.94,83.47,7.16,0.91
2023-11-05,125.78,81.59,7.18,0.93
2023-11-12,126.75,82.17,7.19,0.92
2023-11-19,127.34,81.71,7.21,0.91
2023-11-26,127.55,82.08,7.18,0.91
2023-12-03,127.82,83.03,7.23,0.92
2023-12-10,128.67,82.81,7.21,0.91
2023-12-17,130.47,82.08,7.22,0.89
2023-12-24,130.17,83.11,7.15,0.9
2023-12-31,131.18,83.77,7.16,0.92
